"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"Panaroo",2,"10%–15%",88,8495,0.0103590347263096
"Panaroo",2,"15%–20%",12,8495,0.00141259564449676
"Panaroo",2,"20%–25%",33,8495,0.0038846380223661
"Panaroo",2,"25%–30%",93,8495,0.0109476162448499
"Panaroo",2,"30%–35%",32,8495,0.00376692171865803
"Panaroo",2,"35%–40%",4,8495,0.000470865214832254
"Panaroo",2,"40%–45%",9,8495,0.00105944673337257
"Panaroo",2,"45%–50%",34,8495,0.00400235432607416
"Panaroo",2,"50%–55%",35,8495,0.00412007062978222
"Panaroo",2,"55%–60%",24,8495,0.00282519128899353
"Panaroo",2,"60%–65%",3,8495,0.000353148911124191
"Panaroo",2,"65%–70%",13,8495,0.00153031194820483
"Panaroo",2,"70%–75%",16,8495,0.00188346085932902
"Panaroo",2,"75%–80%",3,8495,0.000353148911124191
"Panaroo",2,"80%–85%",7,8495,0.000824014125956445
"Panaroo",2,"85%–90%",10,8495,0.00117716303708064
"Panaroo",2,"90%–95%",73,8495,0.00859329017068864
"Panaroo",2,"95%–100%",3914,8495,0.460741612713361
"Panaroo",3,"0%–5%",249,8495,0.0293113596233078
"Panaroo",3,"5%–10%",73,8495,0.00859329017068864
"Panaroo",3,"10%–15%",40,8495,0.00470865214832254
"Panaroo",3,"15%–20%",7,8495,0.000824014125956445
"Panaroo",3,"20%–25%",9,8495,0.00105944673337257
"Panaroo",3,"25%–30%",25,8495,0.00294290759270159
"Panaroo",3,"30%–35%",33,8495,0.0038846380223661
"Panaroo",3,"35%–40%",5,8495,0.000588581518540318
"Panaroo",3,"40%–45%",1,8495,0.000117716303708064
"Panaroo",3,"45%–50%",10,8495,0.00117716303708064
"Panaroo",3,"50%–55%",7,8495,0.000824014125956445
"Panaroo",3,"55%–60%",7,8495,0.000824014125956445
"Panaroo",3,"60%–65%",9,8495,0.00105944673337257
"Panaroo",3,"65%–70%",9,8495,0.00105944673337257
"Panaroo",3,"70%–75%",17,8495,0.00200117716303708
"Panaroo",3,"75%–80%",5,8495,0.000588581518540318
"Panaroo",3,"80%–85%",6,8495,0.000706297822248381
"Panaroo",3,"85%–90%",10,8495,0.00117716303708064
"Panaroo",3,"90%–95%",25,8495,0.00294290759270159
"Panaroo",3,"95%–100%",480,8495,0.0565038257798705
"Panaroo",4,"0%–5%",120,8495,0.0141259564449676
"Panaroo",4,"5%–10%",29,8495,0.00341377280753384
"Panaroo",4,"10%–15%",32,8495,0.00376692171865803
"Panaroo",4,"15%–20%",12,8495,0.00141259564449676
"Panaroo",4,"20%–25%",14,8495,0.00164802825191289
"Panaroo",4,"25%–30%",19,8495,0.00223660977045321
"Panaroo",4,"30%–35%",17,8495,0.00200117716303708
"Panaroo",4,"35%–40%",1,8495,0.000117716303708064
"Panaroo",4,"40%–45%",4,8495,0.000470865214832254
"Panaroo",4,"45%–50%",7,8495,0.000824014125956445
"Panaroo",4,"50%–55%",2,8495,0.000235432607416127
"Panaroo",4,"55%–60%",8,8495,0.000941730429664509
"Panaroo",4,"60%–65%",3,8495,0.000353148911124191
"Panaroo",4,"65%–70%",3,8495,0.000353148911124191
"Panaroo",4,"70%–75%",5,8495,0.000588581518540318
